sFileNumber,vCoverageType,vProduct,nLiens,nAuditEntries,nTotalNotes,oCancelled,oNumDays
17-500000,3860,Title & Sub-Escrow,1.00,1319.00,32.00,0.00,54.00
17-500001,3863,Title & Sub-Escrow,1.00,677.00,8.00,1.00,45.00
2301-200000,3863,Title and Escrow,1.00,1620.00,36.00,0.00,55.00
17-500003,3860,TSG - Trustee Sale Guarantee,3.00,895.00,13.00,0.00,109.00
17-500004,3863,LCP - Title Only,1.00,440.00,3.00,1.00,45.00
17-500005,3863,Reverse Mortgage - Title Only,0.00,1177.00,35.00,0.00,57.00
17-500006,3863,Title Only,1.00,850.00,21.00,0.00,55.00
17-500007,3863,Title Only,1.00,963.00,34.00,0.00,57.00
2301-200001,3863,Title and Escrow,1.00,1265.00,31.00,0.00,50.00
17-500008,3860,Title & Sub-Escrow,1.00,902.00,26.00,0.00,54.00
17-500009,3860,Title & Full Escrow,1.00,1475.00,36.00,0.00,54.00
2301-200003,3860,Title and Escrow,3.00,1983.00,59.00,0.00,36.00
2301-200004,3863,Title and Escrow,2.00,1314.00,39.00,0.00,48.00
17-500011,3860,Title & Full Escrow,3.00,2431.00,73.00,0.00,76.00
17-500012,3863,Title & Full Escrow,2.00,1039.00,20.00,0.00,53.00
17-500014,3863,Title & Full Escrow,1.00,1150.00,18.00,0.00,47.00
17-500015,3863,Property Report / O&E - Title Only,1.00,767.00,12.00,0.00,27.00
2301-200007,3863,Title and Escrow,1.00,886.00,6.00,1.00,45.00
17-500016,3863,Title & Full Escrow,1.00,973.00,19.00,0.00,50.00
17-500018,3863,Property Report / O&E - Title Only,1.00,692.00,8.00,0.00,41.00
17-500019,3860,Property Report / O&E - Title Only,2.00,946.00,20.00,0.00,50.00
2301-200008,3860,Title and Escrow,3.00,960.00,30.00,1.00,45.00
2301-200009,3860,Title and Escrow,0.00,681.00,14.00,1.00,45.00
2301-200010,3860,Title and Escrow,0.00,742.00,12.00,1.00,45.00
17-500020,3860,Property Report / O&E - Title Only,2.00,614.00,14.00,0.00,28.00
2301-200011,3860,Title and Escrow,0.00,2203.00,49.00,0.00,28.00
2301-200012,3863,Title and Escrow,0.00,510.00,6.00,1.00,45.00
17-500022,3863,Title & Sub-Escrow,1.00,500.00,6.00,1.00,45.00
2301-200013,3863,Title and Escrow,1.00,1465.00,35.00,0.00,56.00
17-500023,3863,Title & Sub-Escrow,1.00,457.00,7.00,1.00,45.00
2301-200014,3860,Title and Escrow,0.00,1749.00,50.00,0.00,39.00
17-500024,3863,Title Only,0.00,272.00,7.00,1.00,45.00
17-500025,3863,Property Report / O&E - Title Only,1.00,545.00,9.00,0.00,29.00
2301-200015,3863,Title and Escrow,1.00,976.00,27.00,1.00,45.00
2301-200016,3863,Title and Escrow,0.00,1552.00,48.00,0.00,39.00
17-500026,3863,Title & Sub-Escrow,2.00,986.00,25.00,0.00,43.00
2301-200017,3863,Title and Escrow,1.00,637.00,7.00,1.00,45.00
17-500027,3863,Title & Full Escrow,1.00,586.00,10.00,1.00,45.00
17-500028,3860,Property Report / O&E - Title Only,1.00,627.00,11.00,0.00,50.00
2301-200018,3860,Title Only,2.00,1414.00,45.00,0.00,34.00
2301-200019,3860,Title and Escrow,0.00,1630.00,50.00,0.00,39.00
17-500029,3860,Property Report / O&E - Title Only,1.00,604.00,12.00,0.00,29.00
17-500031,3863,Title Only,1.00,1770.00,42.00,0.00,43.00
17-500032,3863,Title Only,2.00,620.00,14.00,1.00,45.00
17-500033,3863,Property Report / O&E - Title Only,1.00,721.00,24.00,0.00,204.00
17-500034,3863,Title & Sub-Escrow,0.00,558.00,10.00,1.00,45.00
17-500035,3860,Title Only,0.00,1566.00,49.00,0.00,61.00
17-500036,3860,Property Report / O&E - Title Only,2.00,620.00,15.00,0.00,35.00
2301-200021,3863,Title and Escrow,0.00,1715.00,44.00,0.00,46.00
17-500037,3860,Property Report / O&E & Full Escrow,2.00,918.00,23.00,0.00,53.00
2301-200023,3860,Title and Escrow,0.00,498.00,9.00,1.00,45.00
17-500038,3863,LCP - Title Only,1.00,699.00,8.00,0.00,29.00
17-500039,3860,Property Report / O&E - Title Only,2.00,634.00,16.00,0.00,29.00
17-500042,3863,Title Only,0.00,847.00,24.00,0.00,53.00
2301-200024,3863,Title and Escrow,1.00,2021.00,50.00,0.00,34.00
17-500043,3863,LCP & Sub-Escrow,2.00,1314.00,28.00,0.00,27.00
17-500044,3863,LCP - Title Only,2.00,1139.00,34.00,0.00,55.00
17-500045,3860,Property Report / O&E - Title Only,1.00,630.00,12.00,0.00,28.00
2301-200025,3863,Title and Escrow,1.00,1547.00,45.00,0.00,68.00
2301-200026,3860,Title and Escrow,2.00,1759.00,70.00,0.00,42.00
17-500046,3863,Property Report / O&E - Title Only,1.00,621.00,8.00,0.00,28.00
17-500047,3860,Property Report / O&E - Title Only,1.00,576.00,13.00,0.00,39.00
17-500048,3863,LCP - Title Only,1.00,809.00,13.00,0.00,55.00
17-500049,3863,Property Report / O&E - Title Only,1.00,605.00,15.00,0.00,19.00
17-500050,3863,LCP - Title Only,1.00,649.00,20.00,1.00,45.00
17-500051,3863,LCP - Title Only,1.00,947.00,15.00,0.00,64.00
17-500052,3863,Title Only,1.00,999.00,20.00,1.00,45.00
2301-200028,3860,Title and Escrow,0.00,1462.00,37.00,0.00,129.00
17-500053,3860,Title & Sub-Escrow,1.00,2678.00,94.00,0.00,108.00
17-500054,3863,Title & Sub-Escrow,2.00,555.00,11.00,1.00,45.00
17-500055,3860,Title & Sub-Escrow,1.00,1307.00,37.00,0.00,56.00
17-500056,3860,Title & Sub-Escrow,2.00,1096.00,27.00,0.00,56.00
2301-200030,3863,Title and Escrow,0.00,1393.00,27.00,0.00,60.00
2301-200032,3863,Title and Escrow,2.00,669.00,14.00,1.00,45.00
17-500057,3863,LCP - Title Only,1.00,608.00,16.00,0.00,47.00
2301-200035,3863,Title and Escrow,0.00,265.00,1.00,1.00,45.00
2301-200036,3860,Title and Escrow,1.00,1919.00,75.00,0.00,40.00
17-500059,3863,LCP - Title Only,1.00,582.00,17.00,0.00,59.00
2301-200038,3860,Title and Escrow,0.00,839.00,19.00,1.00,45.00
17-500060,3860,Title Only,1.00,1122.00,26.00,0.00,42.00
17-500061,3863,Title Only,1.00,561.00,8.00,1.00,45.00
17-500062,3863,Title & Sub-Escrow,1.00,819.00,20.00,0.00,42.00
17-500063,3863,Escrow Only,0.00,639.00,5.00,0.00,32.00
2301-200040,3860,Title and Escrow,1.00,1226.00,29.00,0.00,62.00
17-500064,3863,Title & Sub-Escrow,2.00,870.00,31.00,1.00,45.00
17-500065,3863,Title & Sub-Escrow,1.00,821.00,24.00,0.00,96.00
2301-200042,3860,Title and Escrow,0.00,1930.00,68.00,0.00,35.00
17-500067,3863,LCP - Title Only,1.00,445.00,8.00,1.00,45.00
17-500069,3863,Title & Full Escrow,2.00,1148.00,28.00,0.00,74.00
2301-200043,3860,Title and Escrow,1.00,568.00,10.00,1.00,45.00
17-500070,3863,Title & Full Escrow,1.00,1194.00,23.00,0.00,49.00
17-500071,3863,Title & Full Escrow,2.00,912.00,16.00,0.00,76.00
17-500072,3863,Title Only,2.00,707.00,19.00,0.00,27.00
17-500074,3863,LCP - Title Only,1.00,526.00,10.00,1.00,45.00
17-500076,3863,Title & Full Escrow,1.00,1125.00,17.00,0.00,49.00
17-500078,3863,LCP - Title Only,2.00,1059.00,16.00,0.00,19.00
17-500079,3860,Title Only & Sub Escrow,1.00,1759.00,53.00,0.00,220.00
2301-200044,3860,Title and Escrow,1.00,531.00,8.00,1.00,45.00
17-500081,3863,Reverse Mortgage - Title Only,1.00,484.00,6.00,1.00,45.00
17-500082,3863,Property Report / O&E - Title Only,1.00,566.00,16.00,0.00,89.00
2301-200047,3860,Title and Escrow,2.00,1503.00,48.00,0.00,59.00
2301-200048,3863,Title and Escrow,1.00,1533.00,47.00,0.00,60.00
17-500085,3863,Title & Full Escrow,1.00,974.00,14.00,0.00,74.00
17-500086,3863,Title & Full Escrow,4.00,1249.00,21.00,0.00,74.00
17-500087,3863,Title & Full Escrow,2.00,1091.00,17.00,0.00,75.00
17-500088,3863,Title & Full Escrow,1.00,513.00,10.00,1.00,45.00
2301-200050,3860,Title and Escrow,1.00,777.00,17.00,1.00,45.00
2301-200051,3860,Title and Escrow,1.00,783.00,21.00,1.00,45.00
17-500089,3860,Title & Sub-Escrow,1.00,613.00,7.00,1.00,45.00
2301-200052,3863,Title and Escrow,2.00,1462.00,40.00,0.00,68.00
17-500090,3863,Title Only,1.00,1081.00,25.00,0.00,34.00
17-500092,3860,Title Only,1.00,1019.00,18.00,0.00,28.00
17-500094,3863,LCP - Title Only,1.00,441.00,5.00,1.00,45.00
2301-200054,3863,Title and Escrow,3.00,1703.00,50.00,0.00,47.00
17-500095,3863,LCP - Title Only,1.00,540.00,17.00,0.00,42.00
2301-200055,3863,Title and Escrow,1.00,444.00,4.00,1.00,45.00
17-500096,3863,Title & Sub-Escrow,1.00,1257.00,36.00,0.00,56.00
2301-200057,3860,Title and Escrow,1.00,869.00,25.00,1.00,45.00
2301-200058,3863,Title and Escrow,1.00,1332.00,32.00,0.00,52.00
17-500097,3863,Title Only,0.00,461.00,8.00,1.00,45.00
2301-200059,3863,Title and Escrow,1.00,2371.00,60.00,0.00,18.00
2301-200060,3860,Title and Escrow,0.00,545.00,11.00,1.00,45.00
17-500098,3863,LCP & Sub-Escrow,1.00,1391.00,20.00,0.00,38.00
17-500099,3863,LCP - Title Only,1.00,779.00,16.00,0.00,48.00
17-500100,3863,Title Only,2.00,929.00,34.00,0.00,41.00
2301-200063,3860,Title and Escrow,1.00,1221.00,37.00,1.00,45.00
2301-200064,3863,Title and Escrow,2.00,1866.00,41.00,0.00,25.00
17-500101,3860,Property Report / O&E - Title Only,1.00,583.00,13.00,0.00,34.00
2301-200065,3860,Title and Escrow,4.00,789.00,10.00,1.00,45.00
17-500102,3863,Property Report / O&E - Title Only,1.00,727.00,13.00,0.00,48.00
17-500103,3863,LCP - Title Only,1.00,449.00,6.00,1.00,45.00
2301-200066,3863,Title and Escrow,0.00,1843.00,60.00,0.00,33.00
2301-200067,3863,Title and Escrow,2.00,1572.00,48.00,0.00,28.00
2301-200068,3863,Title and Escrow,1.00,2322.00,94.00,0.00,47.00
2301-200069,3863,Title and Escrow,3.00,1667.00,50.00,0.00,60.00
17-500106,3863,Title & Sub-Escrow,2.00,1613.00,39.00,0.00,53.00
2301-200070,3860,Title and Escrow,1.00,1532.00,47.00,0.00,52.00
17-500107,3863,Title & Full Escrow,2.00,1389.00,45.00,0.00,49.00
17-500109,3863,Title & Full Escrow,1.00,1345.00,34.00,0.00,49.00
17-500110,3863,LCP - Title Only,1.00,498.00,4.00,0.00,228.00
2301-200074,3863,Title and Escrow,0.00,1913.00,42.00,0.00,24.00
17-500112,3863,Title Only,1.00,1048.00,33.00,0.00,40.00
17-500113,3863,LCP - Title Only,1.00,687.00,11.00,0.00,62.00
17-500115,3860,Property Report / O&E - Title Only,2.00,591.00,12.00,0.00,46.00
17-500116,3860,Property Report / O&E - Title Only,2.00,340.00,7.00,0.00,202.00
17-500117,3863,Title & Sub-Escrow,1.00,459.00,8.00,1.00,45.00
2301-200078,3863,Title and Escrow,1.00,1477.00,44.00,0.00,28.00
17-500119,3863,Title Only,1.00,1143.00,33.00,0.00,65.00
17-500120,3860,Title & Sub-Escrow,1.00,1486.00,44.00,0.00,57.00
17-500122,3863,Title Only,1.00,1004.00,25.00,0.00,30.00
17-500123,3860,Title & Sub-Escrow,1.00,1686.00,47.00,0.00,77.00
17-500124,3860,Title Only,2.00,1226.00,42.00,0.00,72.00
17-500126,3860,Title & Sub-Escrow,1.00,1375.00,41.00,0.00,57.00
2301-200081,3860,Title and Escrow,2.00,592.00,8.00,1.00,45.00
17-500128,3860,Title & Sub-Escrow,1.00,1200.00,33.00,0.00,53.00
17-500129,3860,Title & Sub-Escrow,1.00,1488.00,39.00,0.00,66.00
2301-200082,3860,Title and Escrow,1.00,1838.00,69.00,0.00,58.00
2301-200083,3863,Title and Escrow,1.00,1467.00,34.00,0.00,44.00
17-500130,3860,Title Only,2.00,1020.00,35.00,0.00,53.00
2301-200087,3863,Title and Escrow,2.00,1657.00,46.00,0.00,35.00
2301-200088,3863,Title and Escrow,0.00,1491.00,35.00,0.00,32.00
17-500131,3863,Title & Sub-Escrow,1.00,388.00,4.00,1.00,45.00
2301-200089,3863,Title and Escrow,2.00,1456.00,44.00,0.00,23.00
2301-200092,3863,Title and Escrow,0.00,1051.00,25.00,1.00,45.00
17-500133,3863,Title & Sub-Escrow,1.00,674.00,19.00,1.00,45.00
17-500134,3860,Title Only,2.00,1362.00,45.00,0.00,72.00
17-500135,3860,Title Only,1.00,1659.00,46.00,0.00,35.00
17-500136,3860,Title Only,1.00,1284.00,35.00,0.00,70.00
2301-200096,3860,Title and Escrow,3.00,618.00,12.00,1.00,45.00
2301-200097,3863,Title and Escrow,2.00,1574.00,43.00,0.00,58.00
2301-200098,3863,Title and Escrow,0.00,1660.00,34.00,0.00,30.00
17-500137,3863,Title & Full Escrow,1.00,1258.00,30.00,0.00,100.00
2301-200100,3863,Title and Escrow,1.00,554.00,13.00,1.00,45.00
17-500138,3863,Title & Sub-Escrow,1.00,808.00,20.00,0.00,43.00
2301-200101,3860,Title and Escrow,1.00,1422.00,39.00,0.00,38.00
2301-200104,3863,Title and Escrow,2.00,1829.00,46.00,0.00,30.00
17-500139,3860,TSG - Trustee Sale Guarantee,1.00,581.00,10.00,0.00,104.00
17-500140,3863,TSG - Trustee Sale Guarantee,1.00,458.00,6.00,0.00,104.00
17-500141,3863,TSG - Trustee Sale Guarantee,1.00,538.00,12.00,0.00,104.00
17-500142,3863,Title Only,2.00,980.00,34.00,0.00,41.00
17-500147,3863,LCP - Title Only,2.00,1278.00,25.00,0.00,66.00
2301-200105,29189,Title and Escrow,0.00,506.00,8.00,1.00,45.00
17-500148,3863,Title & Full Escrow,1.00,978.00,13.00,0.00,76.00
17-500149,3863,Title Only,1.00,421.00,5.00,1.00,45.00
2301-200106,3863,Title and Escrow,0.00,1553.00,48.00,0.00,38.00
17-500150,3863,Title Only,2.00,867.00,23.00,0.00,39.00
2301-200107,3860,Title and Escrow,1.00,1755.00,48.00,0.00,42.00
17-500152,3863,Property Report / O&E - Title Only,0.00,399.00,5.00,0.00,199.00
17-500153,3863,Property Report / O&E - Title Only,0.00,381.00,5.00,0.00,199.00
17-500154,3863,Property Report / O&E - Title Only,0.00,418.00,8.00,0.00,199.00
17-500155,3860,Title & Sub-Escrow,1.00,391.00,6.00,1.00,45.00
17-500157,3863,Title & Sub-Escrow,2.00,1133.00,41.00,0.00,91.00
17-500158,3863,Title & Full Escrow,1.00,1296.00,25.00,0.00,50.00
17-500159,3863,LCP - Title Only,2.00,763.00,9.00,0.00,24.00
2301-200111,3860,Title and Escrow,2.00,3037.00,123.00,0.00,163.00
17-500160,3863,Title Only,1.00,1226.00,32.00,0.00,52.00
17-500161,3860,Property Report / O&E - Title Only,1.00,616.00,15.00,0.00,63.00
17-500163,3863,Title Only,1.00,879.00,18.00,0.00,31.00
17-500164,3863,Title & Sub-Escrow,2.00,1085.00,32.00,0.00,35.00
17-500165,3863,Title Only,0.00,556.00,7.00,1.00,45.00
17-500166,3860,Property Report / O&E - Title Only,1.00,595.00,13.00,0.00,34.00
17-500167,3860,Title & Sub-Escrow,1.00,1254.00,35.00,0.00,45.00
17-500168,3863,Title & Sub-Escrow,2.00,464.00,5.00,1.00,45.00
17-500169,3863,Title Only,1.00,747.00,26.00,0.00,48.00
17-500170,3860,Title Only,2.00,1130.00,29.00,0.00,44.00
17-500171,3860,Title & Full Escrow,1.00,1051.00,18.00,0.00,45.00
17-500172,3863,Title Only,1.00,782.00,30.00,1.00,45.00
17-500173,3860,Title & Full Escrow,2.00,1300.00,30.00,0.00,69.00
17-500175,3863,Title Only,1.00,1049.00,28.00,0.00,44.00
17-500176,3863,Title & Full Escrow,2.00,1259.00,15.00,0.00,35.00
17-500177,3863,LCP - Title Only,1.00,1000.00,26.00,0.00,37.00
17-500178,3860,Title Only,1.00,484.00,7.00,1.00,45.00
17-500180,3863,Title Only,1.00,1156.00,33.00,0.00,43.00
17-500181,3860,Property Report / O&E - Title Only,1.00,568.00,12.00,0.00,29.00
17-500183,3860,Title & Full Escrow,2.00,1478.00,36.00,0.00,51.00
17-500185,3863,Title & Full Escrow,1.00,1129.00,23.00,0.00,101.00
2301-200114,3863,Title and Escrow,0.00,592.00,21.00,1.00,45.00
17-500186,3863,Title & Full Escrow,1.00,1086.00,24.00,0.00,65.00
17-500187,3863,Title & Full Escrow,1.00,976.00,16.00,0.00,49.00
2301-200116,3863,Title and Escrow,2.00,822.00,29.00,1.00,45.00
2301-200117,29189,Title and Escrow,0.00,524.00,17.00,1.00,45.00
17-500188,3863,LCP - Title Only,1.00,776.00,15.00,0.00,31.00
17-500189,3860,Property Report / O&E - Title Only,1.00,595.00,10.00,0.00,41.00
17-500191,3860,Title Only,1.00,865.00,26.00,0.00,52.00
2301-200120,3860,Title and Escrow,1.00,652.00,11.00,1.00,45.00
2301-200121,3860,Title and Escrow,0.00,1740.00,56.00,0.00,29.00
2301-200122,3863,Title and Escrow,0.00,1796.00,44.00,0.00,21.00
17-500193,3863,Title Only,1.00,840.00,26.00,0.00,38.00
17-500194,3863,Title & Full Escrow,1.00,1218.00,14.00,0.00,37.00
17-500195,3860,Property Report / O&E - Title Only,1.00,625.00,12.00,0.00,63.00
17-500197,3863,Property Report / O&E - Title Only,2.00,336.00,4.00,0.00,199.00
2301-200123,3860,Title and Escrow,1.00,1147.00,30.00,0.00,49.00
2301-200124,3860,Title and Escrow,0.00,1358.00,27.00,0.00,43.00
17-500198,3863,LCP - Title Only,0.00,731.00,9.00,0.00,90.00
2301-200125,3863,Title and Escrow,0.00,1367.00,37.00,0.00,31.00
2301-200126,3863,Title and Escrow,1.00,1760.00,64.00,0.00,43.00
17-500199,3863,LCP - Title Only,0.00,401.00,5.00,1.00,45.00
17-500200,3863,Title Only,1.00,1044.00,28.00,0.00,36.00
2301-200127,3860,Title and Escrow,0.00,849.00,23.00,1.00,45.00
17-500201,3860,Title & Sub-Escrow,1.00,1528.00,44.00,0.00,52.00
17-500202,3863,Title & Full Escrow,2.00,606.00,15.00,1.00,45.00
2301-200129,3860,Title and Escrow,0.00,2405.00,74.00,0.00,64.00
17-500204,3863,Title & Sub-Escrow,1.00,1268.00,22.00,0.00,57.00
2301-200131,3863,Title and Escrow,1.00,497.00,4.00,1.00,45.00
17-500205,3863,Title & Sub-Escrow,1.00,1118.00,41.00,0.00,52.00
2301-200133,3860,Title and Escrow,0.00,1815.00,69.00,0.00,45.00
2301-200135,3860,Title and Escrow,0.00,1817.00,60.00,0.00,105.00
2301-200136,3863,Title and Escrow,2.00,1635.00,44.00,0.00,31.00
2301-200137,3863,Title Only,2.00,1271.00,30.00,0.00,21.00
2301-200138,3863,Title and Escrow,3.00,660.00,14.00,1.00,45.00
2301-200139,3860,Title and Escrow,0.00,1626.00,44.00,0.00,34.00
2301-200140,3863,Title Only,0.00,573.00,14.00,1.00,45.00
17-500206,3863,Property Report / O&E - Title Only,3.00,610.00,16.00,0.00,78.00
17-500207,3860,Title & Sub Escrow,1.00,1029.00,29.00,0.00,63.00
17-500208,3863,Title & Sub-Escrow,1.00,996.00,25.00,0.00,51.00
17-500209,3863,Title & Sub-Escrow,4.00,986.00,32.00,0.00,64.00
2301-200143,3863,Title and Escrow,0.00,1340.00,29.00,1.00,45.00
17-500210,3860,Title & Sub Escrow,3.00,1806.00,62.00,0.00,92.00
2301-200144,3863,Title and Escrow,2.00,1644.00,50.00,0.00,41.00
2301-200145,3863,Title and Escrow,1.00,2623.00,79.00,0.00,49.00
17-500211,3863,Title Only,2.00,980.00,32.00,0.00,50.00
17-500212,3860,Property Report / O&E & Full Escrow,2.00,1035.00,29.00,0.00,50.00
2301-200146,3863,Title and Escrow,1.00,1548.00,30.00,0.00,48.00
17-500214,3863,Title & Sub-Escrow,1.00,759.00,20.00,0.00,76.00
17-500215,3863,LCP - Title Only,1.00,735.00,16.00,0.00,45.00
2301-200147,29189,Title and Escrow,0.00,1412.00,46.00,0.00,24.00
2301-200148,3863,Title and Escrow,0.00,1375.00,45.00,0.00,63.00
17-500217,3863,Title Only,1.00,1224.00,39.00,0.00,31.00
17-500218,3863,LCP - Title Only,0.00,232.00,2.00,1.00,45.00
17-500219,3860,Property Report / O&E - Title Only,1.00,607.00,12.00,0.00,52.00
17-500220,3863,Property Report / O&E - Title Only,1.00,656.00,9.00,0.00,55.00
17-500221,3863,Title & Sub-Escrow,1.00,1044.00,27.00,0.00,51.00
17-500222,3860,Title Only,2.00,1460.00,56.00,0.00,103.00
2301-200149,3863,Title and Escrow,3.00,1567.00,55.00,0.00,40.00
17-500223,3860,Title & Sub-Escrow,1.00,1479.00,49.00,0.00,91.00
17-500224,3860,Title & Sub-Escrow,1.00,1207.00,26.00,0.00,33.00
17-500225,3860,TSG - Trustee Sale Guarantee,2.00,451.00,6.00,0.00,103.00
2301-200150,3860,Title and Escrow,0.00,658.00,16.00,1.00,45.00
2301-200151,3860,Title and Escrow,3.00,1612.00,53.00,0.00,68.00
17-500226,3860,Title & Sub-Escrow,2.00,544.00,13.00,1.00,45.00
17-500227,3860,Title & Sub-Escrow,1.00,478.00,7.00,1.00,45.00
17-500228,3863,LCP & Sub-Escrow,2.00,569.00,6.00,1.00,45.00
17-500229,3860,Title & Full Escrow,2.00,1290.00,32.00,0.00,37.00
17-500230,3860,Property Report / O&E - Title Only,1.00,385.00,5.00,0.00,198.00
17-500231,3860,Property Report / O&E - Title Only,1.00,569.00,13.00,0.00,28.00
17-500232,3863,Title Only,1.00,1009.00,29.00,0.00,51.00
17-500233,3863,LCP - Title Only,0.00,592.00,13.00,0.00,50.00
17-500234,3860,Property Report / O&E - Title Only,1.00,568.00,12.00,0.00,40.00
17-500235,3860,Title Only,1.00,1423.00,37.00,0.00,99.00
2301-200154,3860,Title and Escrow,1.00,1211.00,36.00,0.00,58.00
17-500237,3863,Title Only,1.00,723.00,18.00,0.00,41.00
17-500238,3863,Title & Sub-Escrow,1.00,438.00,4.00,1.00,45.00
17-500239,3863,Title & Sub-Escrow,1.00,415.00,5.00,1.00,45.00
17-500240,3863,Title & Full Escrow,1.00,1032.00,23.00,0.00,55.00
17-500241,3860,Title & Sub-Escrow,1.00,512.00,10.00,1.00,45.00
17-500242,3863,LCP - Title Only,1.00,746.00,14.00,0.00,55.00
17-500243,3863,LCP - Title Only,1.00,867.00,19.00,0.00,65.00
17-500244,3860,Property Report / O&E - Title Only,2.00,361.00,6.00,0.00,199.00
17-500245,3863,Title & Sub-Escrow,1.00,805.00,24.00,0.00,56.00
17-500246,3860,Property Report / O&E - Title Only,1.00,584.00,7.00,0.00,42.00
2301-200156,3860,Title and Escrow,4.00,680.00,18.00,1.00,45.00
17-500247,3863,LCP & Sub-Escrow,0.00,1018.00,21.00,0.00,103.00
2301-200158,3863,Title and Escrow,2.00,1737.00,59.00,0.00,69.00
2301-200159,3860,Title and Escrow,1.00,1578.00,52.00,0.00,64.00
17-500248,3863,Title Only,2.00,1043.00,23.00,0.00,23.00
17-500249,3863,Property Report / O&E - Title Only,1.00,639.00,10.00,0.00,64.00
17-500250,3860,Property Report / O&E - Title Only,1.00,360.00,5.00,0.00,198.00
17-500251,3863,Title & Full Escrow,2.00,1220.00,20.00,0.00,48.00
17-500252,3863,Title & Sub-Escrow,1.00,905.00,24.00,0.00,48.00
17-500253,3863,Title & Full Escrow,3.00,1423.00,32.00,0.00,71.00
2301-200160,3863,Title and Escrow,0.00,1259.00,40.00,0.00,68.00
17-500254,3860,Property Report / O&E - Title Only,1.00,612.00,11.00,0.00,62.00
2301-200161,3863,Title and Escrow,1.00,1440.00,42.00,0.00,23.00
17-500256,3863,Title & Full Escrow,1.00,1048.00,20.00,0.00,70.00
17-500258,3863,Title & Full Escrow,1.00,1026.00,22.00,0.00,64.00
17-500261,3863,Property Report / O&E - Title Only,1.00,640.00,14.00,0.00,103.00
2301-200162,3863,Title and Escrow,0.00,1448.00,34.00,0.00,34.00
17-500262,3860,Property Report / O&E - Title Only,1.00,579.00,9.00,0.00,33.00
17-500263,3863,LCP & Sub-Escrow,2.00,515.00,6.00,1.00,45.00
17-500264,3863,Title Only,0.00,306.00,5.00,1.00,45.00
2301-200165,3860,Title and Escrow,1.00,601.00,13.00,1.00,45.00
17-500266,3860,Property Report / O&E - Title Only,2.00,592.00,22.00,0.00,44.00
2301-200166,3860,Title and Escrow,1.00,410.00,6.00,1.00,45.00
2301-200167,3860,Title and Escrow,0.00,1527.00,54.00,0.00,20.00
2301-200168,3860,Title and Escrow,1.00,2019.00,66.00,0.00,28.00
2301-200169,3860,Title and Escrow,1.00,1189.00,45.00,1.00,45.00
17-500270,3863,Title & Full Escrow,1.00,492.00,7.00,1.00,45.00
2301-200170,3863,Title and Escrow,1.00,1283.00,34.00,0.00,62.00
17-500271,3863,Title & Full Escrow,1.00,426.00,5.00,1.00,45.00
17-500272,3863,Title & Sub-Escrow,1.00,985.00,24.00,0.00,112.00
17-500273,3863,Title & Full Escrow,4.00,539.00,14.00,1.00,45.00
17-500274,3860,Title & Sub-Escrow,1.00,975.00,30.00,0.00,49.00
2301-200172,3863,Title and Escrow,2.00,1386.00,41.00,0.00,26.00
17-500275,3860,Title & Sub-Escrow,1.00,1455.00,39.00,0.00,78.00
2301-200173,3860,Title and Escrow,0.00,379.00,11.00,1.00,45.00
2301-200174,3863,Title and Escrow,2.00,585.00,9.00,1.00,45.00
2301-200175,3863,Title and Escrow,0.00,486.00,5.00,1.00,45.00
2301-200176,3863,Title and Escrow,1.00,926.00,31.00,1.00,45.00
17-500277,3860,Title & Sub-Escrow,2.00,1211.00,33.00,0.00,84.00
2301-200177,3860,Title and Escrow,0.00,1412.00,42.00,0.00,90.00
2301-200178,3863,Title and Escrow,1.00,539.00,11.00,1.00,45.00
17-500278,3860,Title & Sub-Escrow,1.00,1074.00,26.00,0.00,55.00
17-500279,3860,Property Report / O&E - Title Only,0.00,277.00,8.00,1.00,45.00
17-500280,3863,LCP - Title Only,1.00,383.00,4.00,1.00,45.00
17-500281,3860,Property Report / O&E - Title Only,0.00,203.00,3.00,1.00,45.00
2301-200181,3860,Title and Escrow,1.00,678.00,21.00,1.00,45.00
2301-200183,29189,Title and Escrow,0.00,1263.00,44.00,0.00,62.00
17-500282,3863,LCP - Title Only,5.00,539.00,8.00,0.00,223.00
17-500283,3863,LCP - Title Only,1.00,659.00,8.00,0.00,57.00
17-500284,3863,Property Report / O&E & Full Escrow,2.00,726.00,17.00,0.00,62.00
17-500285,3863,LCP - Title Only,2.00,398.00,6.00,0.00,223.00
17-500286,3863,Property Report / O&E - Title Only,1.00,550.00,13.00,0.00,48.00
17-500288,3863,Title Only,1.00,995.00,32.00,0.00,40.00
17-500289,3863,Title Only,1.00,890.00,29.00,0.00,37.00
17-500290,3860,Property Report / O&E - Title Only,2.00,574.00,13.00,0.00,42.00
2301-200186,3860,Title and Escrow,1.00,858.00,19.00,1.00,45.00
17-500292,3860,Property Report / O&E - Title Only,1.00,577.00,12.00,0.00,40.00
17-500293,3863,Property Report / O&E - Title Only,1.00,536.00,10.00,0.00,18.00
2301-200187,3863,Title and Escrow,1.00,560.00,11.00,1.00,45.00
2301-200188,29189,Title and Escrow,0.00,425.00,8.00,1.00,45.00
17-500294,3863,LCP - Title Only,2.00,380.00,5.00,0.00,223.00
2301-200189,3863,Title and Escrow,1.00,1954.00,73.00,0.00,26.00
2301-200190,3863,Title and Escrow,1.00,1646.00,50.00,0.00,50.00
